Ácido Ursodesoxicólico 300 mg Ursocol Laboratorios Zuzu x 10|Ursocol
Penicilina Benzatínica 1.200.000 UI Genérico|Unknown
Olmesartán Medoxomilo 20 mg Eukene Megalabs|Megalabs
Milax|Unknown
Glibenclamida 5 mg Laboratorios Buka|Unknown
Esomeprazol 20 mg Esoz Pharmetique Labs|La Santé
Complejo B Vial|Unknown
Drospirenona + Etinilestradiol 3 mg/20 mcg Yaz Bayer|Bayer
Amoxicilina + Acido Clavulanico|Unknown
Hidroclorotiazida Di-Eudrin 12.5Mg 24|Unknown
Ibuprofeno Ibuvin|Unknown
Rosuvastatina Rosutan|Unknown
!!Suplemento alimenticio Glutapak R|Unknown
Esparadrapo Tela CureBand 5cmX4,50m|CureBand
Fumarato De Bisoprolol 2,5 mg Biprolil Vargas|Vargas
Nasamist|Unknown
Venda Economic 15Cm Ebben|Ebben
Adhesivo Rela Impermeable Blanco 1,2cmx4,5cm|Unknown
Gentamicina|Unknown
Ibuprofeno + Tiocolchicosido|Unknown
Fluticasona Propionato 50 mcg Flinas Oftalmi Suspensión Nasal x 140 Dosis|Oftalmi
Talysto Tadalafilo 20 mg Pharmetique Labs x 1 Tableta Masticable|La Santé
Candesartán 8 mg Cander Valmor|Valmor
Candesartán 16 mg Cander Valmor x 30|Valmor
Losartan Potasico Nefrotal H 100/25Mg X 30|Rowe
Atenolol 100 mg La Santé|La Santé
Levonorgestrel 0,75mg Huazhong Pharmaceutical|Huazhong
Aciclovir 5% Remeny Crema x|Remeny
Atorvastatina 40 mg Genven|Leti
Probiótico-10 25 Billones Now Frasco x 50 Cápsulas|Now
Magnesio Total 5 Ana María Lajusticia Frasco x 100|Ana Maria Lajusticia
Candesartán 8 mg Calox|Calox
Mometasona 0,1% Dermacortine Medihealth Emulsión Tópica x 60 ml|Unknown
Naproxeno 250 mg Laproff Blíster x 10|Laproff
Olmesartán Medoximil + Hidroclorotiazida|Unknown
Ibuprofeno Ibutan 100 Mg/5 Ml Suspensión X|Unknown
Metronidazol + Nistatina + Lidocaina|Unknown
Gentamicina|Unknown
Methoget Metotrexato 2,5 mg Neopharma x 30|Neopharma
Angrip Forte Día Acetaminofén + Clorfeniramina + Cafeína|Megalabs
Pastillero Okoi Semanal|Unknown
Betahistina 16 mg La Santé|La Santé
Bencidamina + Cetilpiridino Bucoxol Gar Sabor Frutos Rojos  La SantéSolución Tópica x|La Santé
Curitas Leukoplast Elastica Redondas 2.2 Cm|Unknown
Meloxicam 15 mg Genven|Leti
Amoxicilina + Ácido Clavulánico|Unknown
Snack Mezcla De Mani, Maiz, Almendra Y Arandanos|Unknown
Acido Ascorbico Vitamina C|Unknown
Acetaminofen + Clorfeniramina|Unknown
Edulcorante Stevia Splenda|SPL
BICALUTAMIDA BLU|Blue Medical
Lactbet 3.000U 10capsulas Lactasa Biotech|Biotech
Vitamina B12 5 mg/mL Polinac Inyectable x 2 mL|Polinac
Diclofenac Potásico 50 mg Diclodex PlusAndex|Plusandex
Tamsulosina Tamsupros 0,4Mg 30 Cap|Unknown
Sildenafil 50 mg Viasek Leti|Leti
Nebivolol 5 mg Tonervol Laboratorios Farma|Farma
Bisoprolol Fumarato 5 mg Calox|Calox
Acetaminofén + Clorfeniramina + Cafeína Angrip Forte x10|Megalabs
Itraconazol + Secnidazol 33,33mg/166.66mg Itrasec Tiares|Tiares
Aciclovir 1 g Aciclor A.P. Leti|Leti
Rosuvastatina 10 mg La Santé|La Santé
Diclofenac Sódico|Unknown
Magnesio Para Niños Happy Kids Arándano Frambuesa VAL x 60|Val
Caramelo Comprimido Nunu Sin Azucar Sabor Patilla-Mandarina|Unknown
Discos De Algodon Tails 70Und|Unknown
Metformina 500 mg Canfir LP Leti x 30|Leti
Dipidol Dipirona 500 MG/ML I.M.|Unknown
Escitalopram|Unknown
Vick Vaporub Tarro|Vick
Kilose Himalaya 60capsulas Natural L|Himalaya
Vick Drops Pastillas Sabor Limon|Vick
Caramelo Freegells Cough Drops Miel Y Limón x 30 und|Unknown
Estradiol 0.01% Estrasyn Tiares Crema Vaginal x 30 gr|Tiares
Captopril 25 mg Genven|Leti
Unknown|Now
Unknown|Now
Vitamina C + Zinc|Unknown
Curitas Leukoplast Estandar Transp 19 X 65 Mm|Unknown
Esomeprazol|Unknown
Ácido Fólico|Unknown
Ibuprofeno 400 mg Remeny|Remeny
Escitalopram 10 mg Escitapax Reliance Blister x 10|Unknown
PSI Bromazepam 6 mg Rowe|Rowe
